job_title,salary_usd,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,job_demand_period,skill_AWS,skill_Azure,skill_Computer Vision,skill_Data Visualization,skill_Deep Learning,skill_Docker,skill_GCP,skill_Git,skill_Hadoop,skill_Java,skill_Kubernetes,skill_Linux,skill_MLOps,skill_Mathematics,skill_NLP,skill_PyTorch,skill_Python,skill_R,skill_SQL,skill_Scala,skill_Spark,skill_Statistics,skill_Tableau,skill_TensorFlow,high_paying
AI Engineer,102322.0,Senior,Part-time,Sweden,Medium,Sweden,100,Associate,8,Telecommunications,2025-01-29,2025-03-05,1047,0.9800000000000002,Smart Analytics,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
AI Specialist,115047.0,Executive,Contract,South Korea,Small,South Korea,0,Master,15,Manufacturing,2024-07-16,2024-08-19,513,0.3600000000000001,TechCorp Inc,34,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
AI Specialist,134303.40000000002,Senior,Contract,France,Medium,France,100,Doctorate,5,Automotive,2024-12-29,2025-01-27,760,0.040000000000000036,Predictive Systems,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
AI Engineer,68760.0,Entry-level,Contract,Norway,Small,Norway,0,Master,0,Energy,2024-02-11,2024-02-25,1657,0.8200000000000001,Cloud AI Solutions,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
AI Scientist,150122.0,Senior,Full-time,Sweden,Medium,Sweden,100,Associate,6,Technology,2024-10-02,2024-11-26,1466,0.9600000000000002,Advanced Robotics,55,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
AI Manager,100134.42,Entry-level,Part-time,United Kingdom,Large,Israel,0,Doctorate,0,Consulting,2024-09-28,2024-10-26,2059,0.9199999999999999,DataVision Ltd,28,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Senior Data Scientist,59823.0,Entry-level,Full-time,India,Large,India,100,Bachelor,1,Real Estate,2025-02-06,2025-03-26,1200,0.15999999999999992,Predictive Systems,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
AI Engineer,195630.12000000002,Executive,Contract,France,Large,France,100,Associate,15,Real Estate,2024-04-24,2024-06-03,2142,0.74,AI Innovations,40,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Data Engineer,155300.0,Senior,Contract,Singapore,Medium,Singapore,0,Associate,9,Finance,2024-04-30,2024-05-29,589,0.72,Algorithmic Solutions,29,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
AI Scientist,101359.08,Mid-level,Part-time,Netherlands,Large,Germany,100,Doctorate,4,Transportation,2024-05-01,2024-07-02,1809,0.3400000000000001,AI Innovations,62,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Data Engineer,134197.0,Mid-level,Full-time,Norway,Medium,France,0,Bachelor,3,Telecommunications,2024-06-21,2024-08-28,969,0.9199999999999999,AI Innovations,68,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AI Engineer,102550.0,Mid-level,Part-time,United States,Medium,United States,0,Bachelor,2,Automotive,2024-04-23,2024-06-23,625,1.0,Cognitive Computing,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1
AI Engineer,107332.56000000001,Senior,Contract,Germany,Small,Germany,0,Doctorate,7,Automotive,2025-03-13,2025-05-11,1629,0.3800000000000001,Quantum Computing Inc,59,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AI Manager,52167.0,Mid-level,Full-time,Austria,Medium,Ireland,100,Master,4,Telecommunications,2024-06-07,2024-06-24,2298,0.8600000000000003,Cloud AI Solutions,17,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI Engineer,53923.0,Mid-level,Full-time,China,Small,China,0,Bachelor,2,Healthcare,2024-10-27,2024-11-18,1006,0.4800000000000002,AI Innovations,22,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AI Engineer,109779.0,Senior,Part-time,Israel,Large,Israel,100,Doctorate,6,Government,2024-08-01,2024-10-02,1146,0.7600000000000002,DataVision Ltd,62,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
AI Engineer,80979.0,Mid-level,Contract,Australia,Small,India,50,Master,2,Media,2024-11-18,2025-01-18,2109,0.54,TechCorp Inc,61,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Data Analyst,52997.0,Mid-level,Part-time,Austria,Medium,Singapore,0,Doctorate,2,Government,2025-01-10,2025-02-20,2101,0.72,Predictive Systems,41,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0
AI Manager,42819.0,Entry-level,Contract,Ireland,Medium,Ireland,50,Doctorate,0,Healthcare,2024-10-08,2024-11-20,2187,0.72,Cognitive Computing,43,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
AI Engineer,82083.0,Mid-level,Contract,Israel,Large,Israel,100,Master,2,Retail,2024-01-18,2024-02-25,1212,0.26,Future Systems,38,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
AI Manager,72887.04000000001,Entry-level,Full-time,Netherlands,Medium,Netherlands,100,Master,1,Retail,2024-05-16,2024-07-26,887,0.20000000000000018,Advanced Robotics,71,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
AI Scientist,68624.0,Entry-level,Full-time,Denmark,Medium,Denmark,0,Master,1,Real Estate,2024-01-31,2024-03-08,1910,0.8399999999999999,Cloud AI Solutions,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
AI Engineer,146852.0,Senior,Full-time,Switzerland,Small,Switzerland,50,Doctorate,7,Real Estate,2024-08-28,2024-09-20,684,0.06000000000000005,Cognitive Computing,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
AI Engineer,178183.0,Executive,Freelance,Finland,Medium,Finland,0,Associate,16,Education,2024-03-01,2024-03-19,1850,0.14000000000000012,Predictive Systems,18,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
AI Engineer,150864.0,Senior,Freelance,Sweden,Large,Singapore,0,Doctorate,8,Consulting,2024-10-26,2024-12-25,1504,0.5800000000000001,Smart Analytics,60,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
AI Manager,126942.0,Executive,Contract,Finland,Large,Netherlands,0,Associate,10,Finance,2024-01-31,2024-02-26,1261,0.9800000000000002,Autonomous Tech,26,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AI Specialist,53752.0,Mid-level,Part-time,Japan,Medium,Japan,100,Associate,2,Telecommunications,2024-10-17,2024-11-12,998,0.21999999999999997,TechCorp Inc,26,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
AI Engineer,111381.0,Executive,Contract,Israel,Small,Israel,0,Master,18,Government,2024-01-14,2024-03-12,1030,0.6200000000000001,Autonomous Tech,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
AI Specialist,41430.0,Entry-level,Part-time,China,Medium,China,50,Bachelor,1,Healthcare,2024-06-15,2024-07-29,2323,0.6000000000000001,Future Systems,44,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Data Engineer,179366.40000000002,Executive,Freelance,Netherlands,Large,Netherlands,100,Associate,15,Government,2024-03-01,2024-05-01,831,0.020000000000000018,DeepTech Ventures,61,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Data Scientist,96956.0,Mid-level,Full-time,United States,Medium,China,0,Bachelor,2,Telecommunications,2024-02-24,2024-03-09,761,0.06000000000000005,DataVision Ltd,14,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AI Specialist,196954.0,Senior,Freelance,United States,Large,United States,50,Bachelor,8,Finance,2025-03-17,2025-04-16,2290,0.5,DataVision Ltd,30,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
AI Specialist,56745.0,Entry-level,Part-time,Finland,Large,Finland,100,Associate,1,Telecommunications,2025-02-01,2025-04-11,502,0.10000000000000009,Quantum Computing Inc,69,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AI Scientist,113455.0,Senior,Full-time,Singapore,Medium,Singapore,50,Associate,8,Retail,2024-04-24,2024-06-12,1281,0.6000000000000001,AI Innovations,49,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AI Engineer,171512.64,Senior,Part-time,Netherlands,Medium,Netherlands,50,Bachelor,5,Media,2025-03-03,2025-05-03,1926,0.4800000000000002,Future Systems,61,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
AI Scientist,174663.0,Senior,Contract,United States,Medium,Singapore,50,Associate,7,Media,2024-01-10,2024-03-22,1151,0.08000000000000007,DeepTech Ventures,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
AI Scientist,46753.0,Entry-level,Contract,India,Small,India,50,Doctorate,1,Manufacturing,2024-11-16,2024-12-18,2012,0.94,Quantum Computing Inc,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
AI Engineer,69020.0,Mid-level,Freelance,China,Large,China,0,Bachelor,4,Energy,2024-09-05,2024-10-25,1584,0.7600000000000002,TechCorp Inc,50,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI Specialist,288815.0,Executive,Part-time,Switzerland,Small,Switzerland,0,Bachelor,12,Manufacturing,2024-08-08,2024-09-23,1930,0.44000000000000017,Cognitive Computing,46,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
AI Specialist,124871.0,Executive,Freelance,Austria,Medium,Finland,50,Doctorate,19,Media,2025-03-10,2025-05-17,1556,0.6000000000000001,Autonomous Tech,68,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
AI Specialist,76022.28,Mid-level,Full-time,Germany,Small,Germany,0,Doctorate,4,Government,2024-08-16,2024-10-19,1974,0.8399999999999999,TechCorp Inc,64,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
AI Scientist,115376.0,Executive,Full-time,India,Medium,India,100,Master,17,Technology,2024-03-12,2024-04-14,2028,0.10000000000000009,Autonomous Tech,33,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
AI Scientist,106579.0,Mid-level,Part-time,United States,Small,United States,100,Associate,3,Gaming,2024-02-24,2024-05-02,2028,0.08000000000000007,Cognitive Computing,68,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Data Scientist,135230.0,Senior,Part-time,Norway,Small,Norway,100,Doctorate,8,Consulting,2024-07-07,2024-09-09,1219,0.5,DataVision Ltd,64,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
AI Scientist,67607.0,Mid-level,Part-time,Israel,Small,Israel,50,Master,4,Media,2024-08-05,2024-08-26,1714,0.72,Quantum Computing Inc,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
AI Specialist,88470.0,Mid-level,Part-time,Canada,Large,Canada,0,Associate,3,Real Estate,2024-07-29,2024-09-27,1528,0.8200000000000001,Autonomous Tech,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
AI Engineer,79863.0,Mid-level,Freelance,India,Large,India,100,Associate,4,Automotive,2024-09-28,2024-10-26,1325,0.11999999999999988,Autonomous Tech,28,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
AI Engineer,60299.0,Entry-level,Part-time,Israel,Large,Israel,100,Doctorate,0,Finance,2025-03-22,2025-05-01,1872,0.32000000000000006,Advanced Robotics,40,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
AI Engineer,92496.6,Mid-level,Full-time,Germany,Medium,Germany,0,Associate,4,Transportation,2024-02-09,2024-03-06,793,0.5800000000000001,AI Innovations,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
AI Engineer,139981.94,Senior,Freelance,United Kingdom,Small,France,0,Associate,8,Media,2024-03-20,2024-05-05,1945,0.8,TechCorp Inc,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Data Scientist,49365.0,Entry-level,Full-time,China,Medium,China,0,Associate,1,Finance,2024-06-22,2024-08-14,1907,1.0,Predictive Systems,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
Data Scientist,162296.0,Senior,Part-time,Norway,Small,Norway,50,Bachelor,6,Finance,2024-06-05,2024-07-01,1714,0.2400000000000002,Neural Networks Co,26,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AI Specialist,102382.0,Mid-level,Part-time,Switzerland,Medium,Switzerland,0,Doctorate,3,Education,2024-03-23,2024-06-03,2199,0.15999999999999992,Smart Analytics,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
AI Engineer,99972.0,Mid-level,Part-time,Australia,Medium,Canada,50,Doctorate,4,Technology,2024-02-20,2024-03-15,799,0.30000000000000004,Cloud AI Solutions,24,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Data Engineer,64129.0,Entry-level,Contract,South Korea,Large,South Korea,0,Bachelor,0,Manufacturing,2024-12-15,2025-02-11,909,0.41999999999999993,Machine Intelligence Group,58,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI Specialist,87938.0,Senior,Full-time,Ireland,Small,Ireland,100,Doctorate,8,Education,2024-12-15,2025-02-12,508,0.6200000000000001,Machine Intelligence Group,59,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
AI Engineer,71405.0,Mid-level,Freelance,Israel,Large,Israel,0,Associate,4,Retail,2024-09-01,2024-10-29,1153,0.9000000000000001,Advanced Robotics,58,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
AI Engineer,316182.0,Executive,Part-time,Denmark,Medium,Canada,0,Associate,12,Finance,2025-02-09,2025-02-23,2452,0.40000000000000013,Digital Transformation LLC,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
AI Scientist,78255.72,Entry-level,Part-time,Germany,Medium,Germany,100,Bachelor,0,Gaming,2024-08-30,2024-09-15,583,0.9199999999999999,Quantum Computing Inc,16,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Senior Data Scientist,84605.04000000001,Mid-level,Full-time,France,Large,France,100,Associate,3,Technology,2024-10-31,2024-12-15,548,0.74,Cognitive Computing,45,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
AI Engineer,51907.0,Mid-level,Freelance,Israel,Medium,Singapore,100,Bachelor,4,Healthcare,2024-02-14,2024-04-02,912,0.6399999999999999,Neural Networks Co,48,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI Engineer,132657.48,Senior,Freelance,France,Small,France,100,Master,7,Real Estate,2024-05-31,2024-06-19,761,0.6800000000000002,Algorithmic Solutions,19,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
AI Scientist,124820.0,Mid-level,Freelance,Norway,Small,Norway,50,Associate,3,Real Estate,2024-08-02,2024-10-01,2077,0.9800000000000002,Cognitive Computing,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1
AI Engineer,170434.0,Senior,Part-time,United Kingdom,Small,United Kingdom,50,Doctorate,9,Retail,2024-11-29,2025-01-09,2396,0.56,Machine Intelligence Group,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Data Engineer,51920.0,Entry-level,Part-time,Sweden,Small,Finland,100,Doctorate,0,Consulting,2025-04-08,2025-05-13,1778,0.5800000000000001,Digital Transformation LLC,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Data Engineer,56427.0,Entry-level,Freelance,Singapore,Medium,Singapore,100,Master,0,Energy,2024-11-16,2025-01-25,1366,0.040000000000000036,DeepTech Ventures,70,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AI Manager,213783.0,Executive,Full-time,Canada,Small,Canada,100,Bachelor,16,Energy,2024-09-19,2024-10-06,2383,0.8399999999999999,Quantum Computing Inc,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1
AI Engineer,59728.0,Mid-level,Freelance,Israel,Medium,Israel,50,Associate,2,Finance,2024-06-10,2024-08-13,1350,0.5,DataVision Ltd,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
AI Engineer,119432.0,Senior,Contract,India,Large,India,0,Doctorate,6,Technology,2024-04-20,2024-06-08,1008,0.26,Autonomous Tech,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
AI Scientist,284486.0,Executive,Contract,United States,Medium,United States,0,Master,12,Consulting,2025-02-13,2025-03-10,2231,0.40000000000000013,TechCorp Inc,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
Data Analyst,170204.76,Executive,Contract,France,Large,France,50,Bachelor,17,Manufacturing,2024-08-31,2024-09-15,639,0.6800000000000002,Neural Networks Co,15,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
AI Engineer,196942.0,Executive,Contract,Australia,Large,Australia,100,Master,19,Gaming,2024-04-01,2024-04-16,826,0.5,TechCorp Inc,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
AI Scientist,207548.0,Executive,Contract,Canada,Medium,Canada,0,Doctorate,10,Energy,2024-02-05,2024-03-11,2292,0.3400000000000001,Cognitive Computing,35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
AI Engineer,68838.0,Mid-level,Freelance,Sweden,Small,Sweden,50,Doctorate,3,Automotive,2024-06-20,2024-08-12,804,0.4800000000000002,TechCorp Inc,53,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
AI Engineer,125666.0,Executive,Freelance,Finland,Large,Finland,100,Doctorate,13,Telecommunications,2024-06-19,2024-08-22,757,0.6800000000000002,TechCorp Inc,64,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AI Engineer,73174.0,Entry-level,Full-time,Denmark,Medium,Denmark,50,Associate,0,Finance,2024-07-14,2024-09-08,678,0.28000000000000025,Machine Intelligence Group,56,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
AI Engineer,33314.0,Entry-level,Contract,Israel,Small,India,50,Bachelor,0,Manufacturing,2025-04-16,2025-06-15,1207,0.6600000000000001,Future Systems,60,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AI Specialist,69914.0,Entry-level,Full-time,United States,Small,United States,100,Associate,0,Transportation,2025-02-15,2025-04-15,1517,0.40000000000000013,Smart Analytics,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
Senior Data Scientist,164287.44,Executive,Freelance,France,Medium,France,50,Master,11,Automotive,2024-05-20,2024-07-14,1294,0.3800000000000001,AI Innovations,55,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1
AI Engineer,84255.12000000001,Entry-level,Contract,France,Large,France,50,Doctorate,0,Real Estate,2024-11-19,2024-12-07,841,0.3600000000000001,Digital Transformation LLC,18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
AI Scientist,48466.0,Entry-level,Part-time,Canada,Small,Canada,100,Bachelor,0,Automotive,2025-03-10,2025-05-14,1146,0.14000000000000012,Predictive Systems,65,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Data Analyst,105836.76000000001,Senior,Contract,France,Small,France,50,Doctorate,8,Technology,2024-06-19,2024-07-16,2419,0.20000000000000018,Algorithmic Solutions,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
Senior Data Scientist,128341.0,Senior,Freelance,Singapore,Small,Singapore,0,Bachelor,9,Finance,2025-04-26,2025-06-15,2457,0.3800000000000001,Neural Networks Co,50,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
AI Scientist,111528.0,Mid-level,Freelance,United States,Large,United States,0,Doctorate,3,Real Estate,2024-03-01,2024-05-08,1299,0.9000000000000001,Predictive Systems,68,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AI Scientist,138945.0,Executive,Part-time,Canada,Small,Canada,50,Master,19,Education,2024-07-10,2024-09-15,1559,0.7800000000000002,DeepTech Ventures,67,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1
AI Engineer,98688.0,Senior,Full-time,Israel,Medium,Israel,50,Bachelor,8,Manufacturing,2024-04-10,2024-05-03,598,0.72,Cognitive Computing,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
Data Analyst,117751.32,Senior,Full-time,France,Small,France,0,Bachelor,6,Technology,2025-04-05,2025-06-13,2049,0.21999999999999997,Predictive Systems,69,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
AI Engineer,84797.0,Mid-level,Full-time,Canada,Medium,Canada,0,Master,4,Real Estate,2024-12-04,2025-01-03,1909,0.2400000000000002,Machine Intelligence Group,30,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
AI Scientist,290199.0,Executive,Contract,Switzerland,Large,Denmark,50,Master,12,Retail,2025-01-12,2025-03-07,1137,0.11999999999999988,Smart Analytics,54,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AI Scientist,195691.0,Senior,Contract,United States,Large,United States,0,Doctorate,8,Transportation,2024-04-20,2024-06-22,916,0.74,Advanced Robotics,63,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
AI Manager,193448.0,Senior,Full-time,Norway,Large,Norway,100,Associate,9,Consulting,2025-01-02,2025-03-11,579,0.32000000000000006,Cognitive Computing,68,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
